,$0.67,,Series Cost:,$1.36,,,,,
 ,,,,,,,,,
$865.85,Payment Received,PayPal Fee,Postage,Other Costs,,Purchase Price Offset,,DVD Cost:,1.15
3/2/2018,$11.00,-$0.62,-$2.79,,The Carey Treatment,$0.75,$7.19,,
3/2/2018,$6.00,-$0.47,-$2.79,,The Eiger Sanction,$0.75,$2.34,,
3/3/2018,$30.00,-$1.17,-$2.79,,Weeds: Complete Series,-$22.00,$2.89,,
3/3/2018,$5.00,-$0.45,-$2.92,,Gran Turismo 5 Prologue PS3,$0.50,$0.99,,
3/3/2018,$7.00,-$0.50,-$2.79,,Ed Wood,$0.75,$3.31,,
3/4/2018,,,,-$50.00,Purchased DVDs,,,,
3/4/2018,$5.00,-$0.45,-$2.79,,The Adventurer: The Curse of the Midas Box,$0.75,$1.37,,
3/4/2018,$13.00,-$0.68,-$2.79,,The Romance of Rosy Ridge,$0.75,$9.13,,
3/4/2018,$4.50,-$0.43,-$2.79,,Ender's Game,$0.75,$0.88,,
3/4/2018,$7.00,-$0.50,-$2.79,,The Evil Under the Sun,$0.75,$3.31,,
3/4/2018,$17.00,-$0.79,-$2.79,,Gojira / Godzilla King of the Monsters,,$12.27,,
3/5/2018,$5.00,-$0.45,-$2.79,,Saving Mr. Banks,$0.75,$1.37,,
3/5/2018,$5.00,-$0.45,-$2.79,,Saving Mr. Banks,$0.75,$1.37,,
3/5/2018,$9.50,-$0.58,-$2.79,,GBF,$0.75,$5.73,,
3/5/2018,$9.00,-$0.56,-$2.79,,Thor: The Dark World Blu-Ray,$0.75,$5.25,,
3/5/2018,$9.00,-$0.56,-$2.79,,Transformers Trilogy,$0.75,$5.25,,
3/6/2018,$5.00,-$0.45,-$2.79,,Saving Mr. Banks,$0.75,$1.37,,
3/6/2018,$8.75,-$0.55,-$2.79,,Thor: The Dark World,$0.75,$5.01,,
3/6/2018,$8.75,-$0.55,-$2.79,,Thor: The Dark World,$0.75,$5.01,,
3/7/2018,$5.50,-$0.46,-$2.66,,PSI Factor Season 1 Disc 1 REPLACEMENT DISC,,$1.23,,
3/7/2018,$6.75,-$0.50,-$2.79,,The Right Kind of Wrong,$0.75,$3.06,,
3/7/2018,$5.00,-$0.45,-$2.79,,Saving Mr. Banks,$0.75,$1.37,,
3/7/2018,$5.00,-$0.45,-$2.79,,LEGO Harry Potter: Years 1-4,$0.50,$1.12,,
3/8/2018,$4.75,-$0.44,-$2.79,,The Rum Diary,$0.75,$1.12,,
3/8/2018,$25.00,-$1.03,-$2.79,,Bichunmoo Dances with Sword,,$20.04,,
3/8/2018,$9.00,-$0.56,-$2.79,,Thor The Dark World,$0.75,$5.25,,
3/8/2018,$4.75,-$0.44,-$2.79,,1981: The Year I Became a Liar,,$0.37,,
3/9/2018,$9.00,-$0.56,-$2.79,,Smile,$0.75,$5.25,,
3/9/2018,$9.00,-$0.56,-$2.79,,Thor The Dark World,$0.75,$5.25,,
3/9/2018,$9.00,-$0.56,-$2.79,,Thor The Dark World,$0.75,$5.25,,
3/9/2018,$9.00,-$0.56,-$2.79,,Thor The Dark World,$0.75,$5.25,,
3/11/2018,$7.75,-$0.52,-$2.92,,Star Wars: The Force Unleashed PS3,$0.50,$3.66,,
3/12/2018,$5.75,-$0.47,-$2.79,,Oliver and Company,$0.75,$2.09,,
3/12/2018,$5.25,-$0.45,-$2.79,,Blade 4-Movie Collection,$0.50,$1.36,,
3/13/2018,$10.00,-$0.59,-$2.63,,Flipper Season 1,-$2.00,$3.63,,
3/15/2018,$5.00,-$0.45,-$2.66,,Anastasia Blu-Ray,$0.75,$1.50,,
3/17/2018,$6.50,-$0.49,-$2.66,,Live Aid,$0.50,$2.70,,
3/17/2018,$7.00,-$0.50,-$3.05,,Alice in Wonderland,,$2.30,,
3/17/2018,$7.50,-$0.52,-$2.66,,The Apartment,$0.75,$3.92,,
3/18/2018,$6.00,-$0.47,-$2.79,,Return of the Pink Panther,$0.50,$2.09,,
3/18/2018,$8.00,-$0.53,-$2.79,,George Lucas in Love,,$3.53,,
3/18/2018,$5.00,-$0.45,-$2.79,,The Right Stuff,,$0.62,,
3/19/2018,,$0.00,,-$68.38,eBay Fees,,-$69.53,,
3/20/2018,$5.50,-$0.46,-$2.66,,Battlestar Galactica Season 1 Disc 1  REPLACEMENT DISC,$0.40,$1.63,,
3/20/2018,$5.25,-$0.45,-$2.79,,The Dark Crystal,$0.70,$1.56,,
3/21/2018,$14.00,-$0.71,-$3.23,,Band of Brothers Tin Box,$0.50,$9.41,,
3/22/2018,$10.00,-$0.59,-$2.79,-$11.50,Concrete Blondes,,-$6.03,,
3/23/2018,$6.25,-$0.48,-$2.79,,Grey Knight,$0.75,$2.58,,
3/23/2018,$18.00,-$0.82,-$2.79,,Adam-12 Season 2,$0.75,$13.99,,
3/23/2018,$5.50,-$0.46,-$2.79,,Adventures of Sonic the Hedgehog,$0.75,$1.85,,
3/23/2018,$17.00,-$0.79,-$2.79,,Ratchet and Clank: All 4 One PS3,$0.50,$12.77,,
3/24/2018,$5.00,-$0.45,-$2.79,,Cool Runnings,$0.50,$1.12,,
3/24/2018,,,,-$21.00,Purchased DVDs,,,,
3/25/2018,$5.50,-$0.46,-$2.79,,Toy Story,$0.75,$1.85,,
3/25/2018,$10.00,-$0.59,-$2.79,,A Touch of Sin,$0.75,$6.22,,
3/25/2018,$10.00,-$0.59,-$2.66,,Major Crimes Season 5,-$11.49,-$5.89,,
3/25/2018,$4.75,-$0.44,-$2.79,,Three Guys Named Mike,$0.75,$1.12,,
3/27/2018,$5.50,-$0.46,-$2.66,,Scooby Doo 1 & 2 Blu-Ray,$0.75,$1.98,,
3/27/2018,,$0.00,,,,,-$1.15,,
3/27/2018,$8.00,-$0.53,-$2.79,,Exit Wounds,-$2.00,$1.53,,
3/27/2018,$7.00,-$0.50,-$2.79,,Archie Bunker's Place Season 1,$0.75,$3.31,,
3/27/2018,$7.75,-$0.52,-$2.79,,LEGO Batman 3: Beyond Gotham,$0.50,$3.79,,
3/28/2018,$6.50,-$0.49,-$2.79,,August Rush,,$2.07,,
3/28/2018,$7.00,-$0.50,-$2.66,,Men in Black Collection,-$1.00,$1.69,,
3/28/2018,$6.50,-$0.49,-$2.79,,,$0.75,$2.82,,
3/30/2018,$6.00,-$0.47,-$2.79,,Modern Family Season 3,-$25.75,-$24.16,,
3/30/2018,$6.00,-$0.47,-$2.79,,The Day the Earth Stood Still,$0.50,$2.09,,
3/30/2018,$7.00,-$0.50,-$2.79,,Batman: The Movie,,$2.56,,
3/30/2018,$9.50,-$0.58,-$2.66,,Boardwalk Empire Season 3,$0.25,$5.36,,
3/31/2018,$7.75,-$0.52,-$2.79,,Injustice: Gods Among Us PS3,$0.50,$3.79,,
3/31/2018,$9.00,-$0.56,-$2.66,,Dogma,$0.50,$5.13,,
4/1/2018,$8.00,-$0.53,-$2.79,,RIPD,$0.75,$4.28,,
4/1/2018,$6.75,-$0.50,-$2.79,,A Simple Twist of Fate,$0.75,$3.06,,
4/2/2018,$7.00,-$0.50,-$2.79,,Phantom,$0.75,$3.31,,
4/2/2018,$6.00,-$0.47,-$2.79,,Get Low,,$1.59,,
4/2/2018,$6.00,-$0.47,-$2.79,,Suits Season 1,$0.50,$2.09,,
4/4/2018,$10.00,-$0.59,-$2.79,,One More Kiss,,$5.47,,
4/4/2018,$15.00,-$0.74,-$2.79,,About Cherry,$0.75,$11.08,,
4/4/2018,$9.00,-$0.56,-$2.79,,Doctor Who - The Ark in Space,$0.50,$5.00,,
