,,,,,,,,,
 ,,,,,,,,,
"$1,895.82",Payment Received,PayPal Fee,Postage,Other Costs,,"Purchase Price
Offset",,MovieList Key,Flags
2/6/2021,$6.25,-$0.48,-$2.89,,Nice Guys Sleep Alone,,$2.88,,
2/6/2021,$15.00,-$0.74,-$2.89,,King Solomons Mines,,$11.38,,
2/6/2021,$9.00,-$0.56,-$2.89,,Hell in the Pacific,,$5.55,,
2/7/2021,$9.00,-$0.56,-$2.89,,Talespin Vol 3,,$5.55,,doNotMatch
2/7/2021,$8.25,-$0.54,-$2.89,,Havoc,,$4.82,,
2/7/2021,$15.00,-$0.74,-$2.89,,Roadhouse 66,,$11.38,,
2/9/2021,$14.50,-$0.72,-$2.89,,Newhart Season 4,$0.75,$11.64,,
2/10/2021,$10.00,-$0.59,-$2.89,,ARU Code GTA San Andreas,,$6.52,,doNotMatch
2/11/2021,$6.50,-$0.49,-$2.89,,The Maltese Falcon,,$3.12,,
2/12/2021,$26.00,-$1.05,-$2.89,,The Harbinger Part 2: The Shaking,,$22.06,,doNotMatch
2/12/2021,$8.00,-$0.53,-$2.89,,Kansas City,,$4.58,,
2/12/2021,$7.00,-$0.50,-$2.89,,Inn of the Sixth Happiness,$0.50,$4.11,,
2/13/2021,,$0.00,,-$17.35,Purchased padded mailers,,-$17.35,,
2/13/2021,$8.00,-$0.53,-$2.89,,Wildcats,$0.50,$5.08,,
2/13/2021,$6.50,-$0.49,-$2.89,,Battle of the Bulge,,$3.12,,
2/13/2021,$9.00,-$0.56,-$2.89,,Father Goose,,$5.55,,
2/13/2021,$25.00,-$1.03,-$2.89,,Paul Newman Seven Movie Collection,,$21.09,,doNotMatch
2/13/2021,,,,-$171.00,Purchased DVDs,,,,
2/15/2021,$6.50,-$0.49,-$2.89,,Battle of the Bulge,,$3.12,,
2/15/2021,$17.00,-$0.79,-$2.89,,Newhart Season 7,$0.34,$13.66,,
2/15/2021,$7.00,-$0.50,-$2.89,,Body Heat,,$3.61,,
2/15/2021,,$0.00,,-$9.03,Purchased lens wipes,,-$9.03,,
2/16/2021,$6.00,-$0.47,-$2.89,,Cigarette Commercials from the 50s and 60s,,$2.64,,
2/16/2021,$50.00,-$1.75,-$2.89,,Adventures of Superman Seasons 5-6,$0.34,$45.70,,
2/17/2021,$10.00,-$0.59,-$2.89,,Malcolm ini the Middle Season 1,,$6.52,,
2/17/2021,$15.00,-$0.74,-$2.89,,The Hunters,,$11.38,,
2/17/2021,$25.00,-$1.03,-$3.45,,Wings Complete Series,,$20.53,,doNotMatch
2/19/2021,$6.50,-$0.49,-$2.89,,Gabriell Iglesias Hot and Fluffy,,$3.12,,
2/20/2021,$12.00,-$0.65,-$2.89,,Newhart Season 1,,$8.46,,
2/22/2021,$7.00,-$0.50,-$2.89,,Guns at Batasi,,$3.61,,
2/22/2021,$14.00,-$0.71,-$2.89,,Ethan Frome,,$10.40,,
2/23/2021,$14.50,-$0.72,-$2.89,,Dogs of War,,$10.89,,
2/23/2021,$7.00,-$0.50,-$2.89,,Gimme a Break Season 1,,$3.61,,
2/23/2021,$13.00,-$0.68,-$2.89,,Being There,,$9.43,,
2/23/2021,$9.00,-$0.56,-$2.89,,The Who - Tommy and Quadrophenia Live,,$5.55,,doNotMatch
2/24/2021,$6.50,-$0.49,-$2.89,,Altered States,,$3.12,,
2/24/2021,$7.00,-$0.50,-$2.89,,Lois and Clark Season 1,-$0.25,$3.36,,
2/25/2021,$8.00,-$0.53,-$2.89,,John Denver The Wildlife Concert,,$4.58,,
2/25/2021,$6.50,-$0.49,-$2.89,,Hannah and Her Sisters,$0.34,$3.46,,
2/26/2021,$8.50,-$0.55,-$2.89,,Prizzis Honor,$0.34,$5.40,,
2/26/2021,$6.50,-$0.49,-$2.89,,Patton,$0.34,$3.46,,
2/27/2021,$20.00,-$0.88,-$2.89,,"TCM Collections: Astaire and Rogers, Vol 2",,$16.23,,doNotMatch
3/1/2021,$8.00,-$0.53,-$2.89,,Under Pressure,,$4.58,,
3/1/2021,$13.00,-$0.68,-$2.89,,Sondheim The Birthday Concert,$0.50,$9.93,,
3/1/2021,$13.00,-$0.68,-$2.89,,Pink Floyd The Wall,$0.34,$9.77,,
3/2/2021,$6.50,-$0.49,-$2.89,,Justified Season 1,,$3.12,,
3/3/2021,$7.50,-$0.52,-$2.89,,Charlies Angels Season 2,-$0.25,$3.84,,
3/4/2021,$9.00,-$0.56,-$2.89,,XBOX 360 Magazine Fear 2 Demo,,$5.55,,doNotMatch
3/5/2021,$14.00,-$0.71,-$2.89,,Love and Death,,$10.40,,
3/5/2021,$9.00,-$0.56,-$2.89,,My Six Loves,-$0.25,$5.30,,
3/6/2021,$10.00,-$0.59,-$2.89,,Crossing Lines Season 1,,$6.52,,
3/8/2021,$5.50,-$0.46,-$2.89,,The Long Hot Summer,,$2.15,,
3/8/2021,$9.00,-$0.56,-$2.89,,Another Pair of Aces,,$5.55,,
3/8/2021,$20.00,-$0.88,-$2.89,,The Pink Panther Film Collectgion,,$16.23,,doNotMatch
3/9/2021,$11.00,-$0.62,-$3.51,,Warhammer: Warcry - Battle for Aluma,,$6.87,,doNotMatch
3/10/2021,$7.00,-$0.50,-$2.89,,Newhart Season 3,$0.75,$4.36,,
3/11/2021,$7.50,-$0.52,-$2.89,,Wonder Woman,-$0.25,$3.84,,
3/13/2021,$9.00,-$0.56,-$2.89,,Stargate Atlantis Season 3,-$0.25,$5.30,,
3/15/2021,$12.50,-$0.66,-$2.89,,The Russians are Coming,-$0.25,$8.70,,
3/15/2021,$29.00,-$1.14,-$2.89,,Lois and Clark Season 2,-$3.00,$21.97,,
3/15/2021,$19.00,-$0.85,-$2.89,,MacGyver Season 7,,$15.26,,
3/16/2021,$11.00,-$0.62,-$2.89,,Buffy the Vampire Slayer Season 7,-$0.25,$7.24,,
3/16/2021,$7.50,-$0.52,-$2.89,,Das Boot,,$4.09,,
3/16/2021,$16.00,-$0.76,-$2.89,,The Diary of Ellen Rimbauer,,$12.35,,
3/19/2021,$10.50,-$0.60,-$2.89,,Brigadoon,$0.25,$7.26,,
3/22/2021,$16.00,-$0.76,-$2.89,,Tina All the Best Live Collection,,$12.35,,
3/22/2021,$7.00,-$0.50,-$3.51,,Round Midnight - Linda Ronstadt,$0.50,$3.49,,doNotMatch
3/22/2021,$10.00,-$0.59,-$2.89,,The Shield Season 6,$0.25,$6.77,,
3/23/2021,$8.00,-$0.53,-$2.89,,The Closer Season 3,-$0.25,$4.33,,
3/24/2021,$6.50,-$0.49,-$2.89,,Butterfield 8,$0.08,$3.20,,
3/24/2021,$8.75,-$0.55,-$2.89,,Season of the Hunted,,$5.31,,
3/25/2021,$7.50,-$0.52,-$2.89,,The Five Heartbeats,,$4.09,,
3/26/2021,$13.00,-$0.68,-$2.89,,Millennium,$0.30,$9.73,,
3/27/2021,$7.00,-$0.50,-$2.89,,Emperor,,$3.61,,
3/29/2021,$8.50,-$0.55,-$2.89,,Twin Peaks Season 1,-$0.25,$4.81,,
3/29/2021,$6.50,-$0.49,-$2.89,,Chisum,,$3.12,,
3/29/2021,$8.00,-$0.53,-$2.89,,Carousel,,$4.58,,
3/30/2021,$8.50,-$0.55,-$2.89,,The Big Chill,$0.33,$5.39,,
3/30/2021,$45.00,-$1.61,-$2.89,,Adventures of Superman Season 3-4,$0.33,$40.84,,
3/31/2021,$9.00,-$0.56,-$2.89,,Birdman of Alcatraz / Elmer Gantry,$0.50,$6.05,,DoNotMatch
4/1/2021,$10.00,-$0.59,-$2.89,,The Wahlburgers Season 2,$0.25,$6.77,,
4/3/2021,$7.50,-$0.52,-$2.89,,Terminator Sarah Conner Chronicles Season 1,,$4.09,,
4/3/2021,$9.00,-$0.56,-$2.89,,Sunday in the Park with George,,$5.55,,
4/6/2021,$16.00,-$0.76,-$2.89,,Starsky and Hutch Season 3,,$12.35,,
4/6/2021,$14.00,-$0.71,-$2.89,,Air Force,,$10.40,,
4/8/2021,$13.00,-$0.68,-$2.89,,Millennium,-$0.30,$9.13,,
4/10/2021,$12.00,-$0.65,-$2.89,,Desperation,,$8.46,,
4/12/2021,$15.00,-$0.74,-$2.89,,Scandal Season 3,-$2.00,$9.38,,
4/12/2021,$11.00,-$0.62,-$2.89,,Scandal Season 4,-$2.00,$5.49,,
4/12/2021,$25.00,-$1.03,-$2.89,,Jailbreakers,,$21.09,,
4/12/2021,$6.50,-$0.49,-$2.89,,Morituri,,$3.12,,
4/13/2021,$7.00,-$0.50,-$2.89,,Devils Knot,,$3.61,,
4/13/2021,$7.50,-$0.52,-$2.89,,Trinity is Still My Name,,$4.09,,
4/15/2021,,,,-$39.64,eBay Fees,,,,
4/17/2021,$7.50,-$0.52,-$2.89,,Stargate Atlantis Season 2,-$2.00,$2.09,,
4/19/2021,$9.50,-$0.58,-$2.89,,Hot in Cleveland Season 2,-$2.00,$4.03,,
4/19/2021,$10.50,-$0.60,-$2.89,,The Lost Prince,-$0.25,$6.76,,
4/20/2021,$8.00,-$0.53,-$2.89,,The Band Wagon,,$4.58,,
4/21/2021,$17.00,-$0.79,-$3.45,,Battlestar Galactica Season 4.0,-$2.00,$10.76,,
4/22/2021,$8.00,-$0.53,-$2.89,,Stargate SG-1 Atlantis Season 3,-$2.00,$2.58,,
4/23/2021,$15.00,-$0.74,-$2.89,,Basket Case,-$0.30,$11.08,,
4/23/2021,$9.00,-$0.56,-$2.89,,Lake Placid 2,,$5.55,,
4/23/2021,$13.00,-$0.68,-$2.89,,Scandal Season 5,-$2.00,$7.43,,
4/23/2021,,$0.00,,-$28.70,Purchased mailers,,-$28.70,,
4/24/2021,$15.00,-$0.74,-$2.89,,Kids,,$11.38,,
4/24/2021,$10.50,-$0.60,-$2.89,,Topaz,,$7.01,,
4/26/2021,$9.50,-$0.58,-$2.89,,Valley Girl,-$0.70,$5.33,,
4/27/2021,$11.00,-$0.62,-$2.89,,Deanna Durbin Sweetheart Pack,,$7.49,doNotMatxch,
5/2/2021,$8.00,-$0.53,-$2.89,,Nobodys Baby,,$4.58,,
5/2/2021,$7.00,-$0.50,-$2.89,,The Prize Winner of Defiance Ohio,,$3.61,,
5/2/2021,$6.50,-$0.49,-$2.89,,Don Knotts: Reluctant Hero,,$3.12,doNotMatch,
5/2/2021,$11.50,-$0.63,-$2.89,,Reptilicus,,$7.98,,
5/3/2021,$9.50,-$0.58,-$2.89,,Beyond Reanimator,,$6.03,,
5/4/2021,$11.00,-$0.62,-$2.89,,The DI,,$7.49,,
5/5/2021,$9.00,-$0.56,-$2.89,,The Curse of Oak Island Season 1,,$5.55,,
5/5/2021,$7.50,-$0.52,-$2.89,,As Time Goes By Season 8-9,,$4.09,,
5/7/2021,$35.00,-$1.32,-$2.89,,Sanctuary Season 3,-$2.00,$28.80,,
5/7/2021,$7.00,-$0.50,-$2.89,,Stargate Atlantis Season 4,-$2.00,$1.61,,
5/8/2021,,$0.00,,-$56.00,Purchased DVDs,,-$56.00,,
5/11/2021,$10.00,-$0.59,-$2.89,,967 Evil,-$0.25,$6.27,,
5/11/2021,$16.00,-$0.76,-$3.45,,Farscape Season 2,-$2.00,$9.79,,
5/11/2021,$7.00,-$0.50,-$2.89,,The Professional,,$3.61,,
5/13/2021,$8.00,-$0.53,-$2.89,,,,$4.58,,
5/13/2021,$14.00,-$0.71,-$2.89,,Judgment Night,,$10.40,,
5/14/2021,$45.00,-$1.61,-$2.89,,Lois and Clark Season 3,-$2.00,$38.51,,
5/17/2021,$7.00,-$0.50,-$2.89,,Dogma,-$0.75,$2.86,,
5/18/2021,,,,-$44.52,eBay Fees,,,,
5/18/2021,$19.00,-$0.85,-$2.89,,,,$15.26,,
5/18/2021,$8.50,-$0.55,-$2.89,,Angel Season 2,,$5.06,,
5/18/2021,$27.00,-$1.08,-$2.89,,Visiting Hours,,$23.03,,
5/22/2021,$9.00,-$0.56,-$3.45,,Highlander Season 4,,$4.99,,
5/22/2021,,$0.00,,-$33.00,Purchased DVDs,,-$33.00,,
5/23/2021,,$0.00,,-$35.69,Purchased Padded Envelopes,,-$35.69,,
5/24/2021,$9.00,-$0.56,-$2.89,,Elizabeth,-$0.25,$5.30,,
5/24/2021,$10.50,-$0.60,-$2.89,,The Possession of David Oreilly,,$7.01,,
5/24/2021,$23.00,-$0.97,-$3.45,,Highlander Season 6,-$2.00,$16.58,,
5/24/2021,$27.00,-$1.08,-$3.45,,Highlander Season 5,-$2.00,$20.47,,
5/24/2021,$15.00,-$0.74,-$3.45,,Highlander Season 2,-$2.00,$8.82,,
5/24/2021,$7.00,-$0.50,-$2.89,,Fright Night,$0.59,$4.20,,
5/25/2021,$7.00,-$0.50,-$2.89,,Supernatural Seasono 1,$0.59,$4.20,,
5/25/2021,$6.50,-$0.49,-$2.89,,The Legacy,-$0.25,$2.87,,
5/28/2021,$9.00,-$0.56,-$2.89,,Battlstar Galactical Season 2,-$0.25,$5.30,,
5/29/2021,$7.00,-$0.50,-$2.89,,Black Book,,$3.61,,
5/30/2021,$12.00,-$0.65,-$3.45,,Crusade Complete Series,-$2.00,$5.90,,
5/30/2021,$7.00,-$0.50,$0.00,,Goddess of Love,-$0.25,$6.25,,
5/30/2021,$10.00,-$0.59,$0.00,,Boomtown Season 1,-$2.00,$7.41,,
5/30/2021,$7.00,-$0.50,$0.00,,Snapdragon,,$6.50,,
6/3/2021,$7.50,-$0.52,-$2.89,,Mortal Thoughts,-$0.25,$3.84,,
6/4/2021,$17.00,-$0.79,-$2.89,,Prison Break The Final Break,$0.59,$13.91,,
6/4/2021,$15.00,-$0.74,-$2.89,,Bones Season 9,-$2.00,$9.38,,
6/5/2021,$18.00,-$0.82,-$2.89,,"Triple B Collection: Savage Beach, Enemy Gold, Return to Savage Beach",,$14.29,doNotMatch,
6/5/2021,$12.00,-$0.65,-$2.89,,Supernatural Season 7,$0.59,$9.05,,
6/5/2021,$8.50,-$0.55,-$2.89,,Coraline,$0.59,$5.65,,
6/14/2021,$10.00,-$0.59,-$2.89,,Lagun Beach Season 2,-$0.75,$5.77,,
6/16/2021,$11.00,-$0.62,-$2.89,,Animal Kingdom Season 1,-$15.18,-$7.69,,
6/16/2021,$6.50,-$0.49,-$2.89,,The Mentalist Season 2,$0.59,$3.71,,
6/16/2021,$7.50,-$0.52,-$2.89,,Bones Season 5,$0.59,$4.68,,
6/17/2021,$7.00,-$0.50,-$2.89,,Bellflower,-$0.25,$3.36,,
6/19/2021,$11.50,-$0.63,-$2.89,,Prison Break Season 4,-$2.00,$5.98,,
6/20/2021,,$0.00,,-$39.47,eBay Fees,,-$39.47,,
6/21/2021,$12.00,-$0.65,-$2.89,,Joes Apartment,$0.59,$9.05,,
6/22/2021,$7.00,-$0.50,-$2.89,,Prison Break Season 1,$0.59,$4.20,,
6/23/2021,$11.00,-$0.62,-$2.89,,Splice br,$0.59,$8.08,,
6/26/2021,$6.50,-$0.49,-$2.89,,Life After People,$0.25,$3.37,,
6/28/2021,$16.00,-$0.76,-$2.89,,The Mentalist Season 4,$0.59,$12.94,,
6/29/2021,$21.00,-$0.91,-$3.45,,Highlander Season 3,-$2.00,$14.64,,
6/30/2021,$15.00,-$0.74,-$3.57,,From Dusk Till Dawn 4 Film Collection,$0.59,$11.29,doNotMatch,
7/2/2021,$6.50,-$0.49,-$2.89,,Ambush Bay,,$3.12,,
7/4/2021,$6.00,-$0.47,-$2.89,,This is 40 BR,$0.59,$3.23,doNotMatch,
7/4/2021,$12.00,-$0.65,-$2.89,,Man of Steel BR,-$2.00,$6.46,doNotMatch,
7/4/2021,$15.50,-$0.75,-$2.89,,Collision,$0.59,$12.45,,
7/5/2021,$9.50,-$0.58,-$2.89,,South Park Season 10,$0.59,$6.62,,
7/5/2021,$23.00,-$0.97,-$3.57,,Battlestar Galactica Complete Epic Series,-$2.00,$16.46,,doNotMatch
7/6/2021,$17.50,-$0.81,-$2.89,,Avatar BR,-$2.00,$11.80,,
7/6/2021,$7.00,-$0.50,-$2.89,,The Lorax BR,$0.59,$4.20,,
7/7/2021,$10.00,-$0.59,-$2.89,,Ancient Aliens Season 4,,$6.52,,
7/7/2021,$7.00,-$0.50,-$2.89,,Urban Legends Final Cut,,$3.61,,
7/7/2021,$8.50,-$0.55,-$2.89,,House Season 6,,$5.06,,
7/9/2021,$24.00,-$1.00,-$2.89,,House Season 8,$0.59,$20.70,,
7/12/2021,$5.50,-$0.46,-$2.89,,MASH Season 2,-$2.00,$0.15,,
7/12/2021,$5.50,-$0.46,-$2.89,,Pawn Stars Season 1,$0.59,$2.74,,
7/14/2021,$8.00,-$0.53,-$2.89,,The Place Beyond the Pines,$0.59,$5.17,,
7/15/2021,$15.00,-$0.74,-$2.89,,Luciano Fulci: The Beyond,-$0.25,$11.13,,doNotMatch
7/15/2021,$7.50,-$0.52,-$2.89,,South Park The Cult of Cartman,$0.59,$4.68,,
7/16/2021,$9.50,-$0.58,-$2.89,,Eric Clapton Crossroad Guitar Festival 2007,,$6.03,,
7/16/2021,$9.00,-$0.56,-$2.89,,South Park Season 15,$0.59,$6.14,,
7/16/2021,$6.00,-$0.47,-$2.89,,Prisoners,-$2.00,$0.64,,
7/17/2021,$9.00,-$0.56,-$2.89,,The Mentalist Season 3,-$2.00,$3.55,,
7/17/2021,$7.00,-$0.50,-$2.89,,Supergirl Season 1,$0.59,$4.20,,
7/17/2021,,$0.00,,-$5.00,Purchased DVDs,,-$5.00,,
7/17/2021,,$0.00,,,,,$0.00,,
7/18/2021,$7.50,-$0.52,-$3.45,,From the Earth to the Moon,-$2.00,$1.53,,
7/20/2021,$13.00,-$0.68,-$2.89,,A Man and a Woman,,$9.43,,
7/20/2021,$7.00,-$0.50,-$2.89,,The 4400 Season 3,$0.30,$3.91,,
7/21/2021,$70.00,-$2.33,-$3.45,,Anthony Bourdain Cooks Tour,$0.59,$64.81,,
7/21/2021,$8.00,-$0.53,-$2.89,,Prison Break Season 3,$0.59,$5.17,,
7/21/2021,$7.00,-$0.50,-$2.89,,Under the Dome Season 1,$0.59,$4.20,,
7/21/2021,,$0.00,,-$7.26,eBay Fees,,-$7.26,,
7/21/2021,$7.50,-$0.52,-$2.89,,Artworks,,$4.09,,
7/21/2021,$7.00,-$0.50,-$2.89,,The Complete National Geographic DVD Set,$0.59,$4.20,,doNotMatch
7/22/2021,$10.00,-$0.59,-$2.89,,Supernatural Season 3,$0.59,$7.11,,
7/22/2021,$30.00,-$1.17,-$2.89,,Lois and Clark Season 4,-$2.00,$23.94,,
7/22/2021,$7.00,-$0.50,-$2.89,,Flash Gordon,-$0.30,$3.31,,
7/23/2021,$11.00,-$0.62,-$2.89,,Victor Victoria,,$7.49,,
7/23/2021,$6.50,-$0.49,-$2.89,,Mankind The Story of All of Us,,$3.12,,
7/23/2021,$11.00,-$0.62,-$5.45,,Stargate SG1 Season 10,-$2.00,$2.93,,
7/23/2021,$8.50,-$0.55,,,Stargate SG1 Season 2,-$2.00,$5.95,,
7/23/2021,$15.00,-$0.74,-$3.45,,Stagate G1 Season 9,-$2.00,$8.82,,
7/23/2021,$15.00,-$0.74,,,Farscape Season 1,-$2.00,$12.27,,
7/24/2021,$6.00,-$0.47,-$2.89,,A Woman Called Moses,,$2.64,,
7/26/2021,$7.00,-$0.50,-$2.89,,Dexter Season 5,$0.59,$4.20,,
7/26/2021,$7.50,-$0.52,-$2.89,,The Wizard of Oz,,$4.09,,
7/27/2021,$7.00,-$0.50,-$2.89,,Constantine BLU-RAY,$0.59,$4.20,,doNotMatch
7/29/2021,$11.50,-$0.63,-$2.89,,Freddy Got Fingered,$0.59,$8.57,,
7/31/2021,$11.00,-$0.62,-$2.89,,King Kong,$0.59,$8.08,,
8/2/2021,$8.50,-$0.55,-$2.89,,VH1 Divas Live,,$5.06,,
8/2/2021,$5.75,-$0.47,-$2.89,,Adventure Time Season 2,$0.59,$2.98,,
8/2/2021,$9.50,-$0.58,-$2.89,,Stargate Atlantis Season 5,-$2.00,$4.03,,
8/5/2021,$15.50,-$0.75,-$3.45,,Babylon 5 Season 4,-$2.00,$9.30,,
8/9/2021,$6.50,-$0.49,-$2.89,,The Rockford Files Season 1,-$6.80,-$3.68,,
8/9/2021,$9.00,-$0.56,-$2.89,,10000 BC,$0.59,$6.14,,
8/9/2021,$6.25,-$0.48,-$2.89,,Fly Away Home,,$2.88,,
8/10/2021,$7.00,-$0.50,-$2.89,,National Geographic Best of 125 Years,$0.59,$4.20,,
8/10/2021,$16.00,-$0.76,-$2.89,,Dogs 101,$0.59,$12.94,,
8/11/2021,$6.50,-$0.49,-$2.89,,South Park Season 3,$0.59,$3.71,,
8/11/2021,$7.50,-$0.52,-$2.89,,The World Wars,,$4.09,,
8/12/2021,$7.00,-$0.50,-$2.89,,Adventure Time Season 4 Blu-ray,$0.59,$4.20,,
8/12/2021,$17.00,-$0.79,-$2.89,,Denzel Washington 8-Film Collection,$0.59,$13.91,,doNotMatch
8/13/2021,$8.00,-$0.53,-$2.89,,It's Always Sunny in Philadelphia Season 7,$0.59,$5.17,,
8/13/2021,$6.50,-$0.49,-$2.89,,Murder She Wrote Season 3,$0.81,$3.93,,
8/14/2021,,$0.00,,-$14.00,Purchased DVDs,,-$14.00,,
8/18/2021,,$0.00,,-$52.30,eBay Fees,,-$52.30,,
8/18/2021,$10.00,-$0.59,-$2.89,,Murder She Wrote Season 4,$0.81,$7.33,,
8/21/2021,$12.00,-$0.65,-$2.89,,Basilisk Complete Series,,$8.46,,
8/21/2021,,,,-$41.00,Purchased DVDs,,,,
8/22/2021,$5.50,-$0.46,-$2.89,,The No 1 Ladies Detective Agency,$0.59,$2.74,,
8/22/2021,$7.50,-$0.52,-$2.89,,It Happened at the Worlds Fair,,$4.09,,
8/22/2021,$7.50,-$0.52,-$2.89,,Top Gear 50 Years of Bond Cars,$0.59,$4.68,,
8/23/2021,$13.50,-$0.69,-$3.45,,Babylon 5 Season 2,-$2.00,$7.36,,
8/24/2021,$9.00,-$0.56,-$2.89,,South Park Season 7,$0.59,$6.14,,
8/24/2021,$6.50,-$0.49,-$2.89,,The Cardinal,$0.59,$3.71,,
8/25/2021,$6.50,-$0.49,-$2.89,,Predator / Predator 2 Double Feature,,$3.12,,doNotMatch
8/25/2021,$8.00,-$0.53,-$2.89,,John Adams,-$0.20,$4.38,,
8/26/2021,$6.50,-$0.49,-$2.89,,The Big Bang Theory Season 7,$0.59,$3.71,,
8/26/2021,$10.00,-$0.59,-$2.89,,South Park Season 13,$0.59,$7.11,,
8/26/2021,$10.00,-$0.59,-$2.89,,Supernatural Season 2,$0.59,$7.11,,
8/27/2021,$9.00,-$0.56,-$2.89,,Time After Time,$0.59,$6.14,,
8/28/2021,,$0.00,,-$25.00,Purchased DVDs,,-$25.00,,
8/30/2021,$9.00,-$0.56,-$2.89,,South Park Season 6,$0.59,$6.14,,
8/30/2021,$15.00,-$0.74,-$2.89,,Real Men,,$11.38,,
8/30/2021,$11.00,-$0.62,-$2.89,,The Fox River Valley and Chain o Lakes,,$7.49,,
8/30/2021,$10.00,-$0.59,-$2.89,,Barfly,$0.59,$7.11,,
9/1/2021,$7.00,-$0.50,-$3.19,,Jericho Season 1,$0.59,$3.90,,
9/1/2021,$7.50,-$0.52,-$3.19,,Luther,,$3.79,,
9/3/2021,$9.50,-$0.58,-$3.19,,Magnum PI Season 5,-$2.00,$3.73,,
9/3/2021,$11.00,-$0.62,-$3.19,,Heroes Season 4,$0.51,$7.70,,
9/4/2021,$8.50,-$0.55,-$3.19,,Scanners,,$4.76,,
9/4/2021,$9.50,-$0.58,-$3.19,,Supernatural Season 5,$0.59,$6.32,,
9/4/2021,$11.00,-$0.62,-$3.19,,Bronson,,$7.19,,
9/4/2021,$20.00,-$0.88,-$3.19,,Playboy The Best of Pamela Anderson,,$15.93,,
9/4/2021,$6.00,-$0.47,-$3.19,,South Park Season 12,$0.59,$2.93,,
9/6/2021,$7.50,-$0.52,-$3.19,,Teen Wolf Season 1,,$3.79,,
