,,,,,,,,,
$285.87,Payment Received,PayPal Fee,Postage,Other Costs,,,,DVD Cost:,1
2/10/2015,$2.64,-$0.38,-$2.09,,Little Miss Sunshine,,-$0.83,,
2/10/2015,$3.24,-$0.39,-$2.09,,The Transporter,,-$0.24,,
2/11/2015,$3.24,-$0.39,-$2.09,,Garden State,,-$0.24,,
2/11/2015,$3.24,-$0.39,-$2.09,,Monster's Ball,,-$0.24,,
2/11/2015,$3.24,-$0.39,-$2.09,,Talladega Nights,,-$0.24,,
2/12/2015,$6.44,-$0.49,-$2.09,,Alive,,$2.86,,
2/12/2015,$14.83,-$0.73,-$2.09,,Deep Sea Blu-ray,,$11.01,,
2/12/2015,$3.24,-$0.39,-$2.09,,Fun with Dick and Jane,,-$0.24,,
2/12/2015,$4.74,-$0.44,-$2.09,,Paranormal Activity Blu-ray,,$1.21,,
2/12/2015,$4.24,-$0.42,-$2.09,,Sweet November,,$0.73,,
2/12/2015,$2.94,-$0.39,-$2.09,,The 40-Year-Old Virgin,,-$0.54,,
2/12/2015,$2.94,-$0.39,-$2.09,,The Interpreter,,-$0.54,,
2/13/2015,$3.44,-$0.40,-$2.09,,A Fish Called Wanda,,-$0.05,,
2/13/2015,$3.24,-$0.39,-$2.09,,Blackhawk Down,,-$0.24,,
2/13/2015,$5.44,-$0.46,-$2.09,,Dead and Gone,,$1.89,,
2/13/2015,$2.94,-$0.39,-$2.09,,Mission Impossible 3,,-$0.54,,
2/15/2015,$3.24,-$0.39,-$2.09,,Angel and the Badman,,-$0.24,,
2/15/2015,$2.94,-$0.39,-$2.09,,Frailty,,-$0.54,,
2/15/2015,$4.24,-$0.42,-$2.09,,The Rise and Fall of ECW,,$0.73,,
2/17/2015,$3.24,-$0.39,-$2.09,,Blue Steel,,-$0.24,,
2/17/2015,$4.04,-$0.42,-$2.09,,Born to be Wild,,$0.53,,
2/17/2015,$3.24,-$0.39,-$2.09,,Rambo,,-$0.24,,
2/17/2015,,$0.00,,-$2.94,Refund for Old School,,-$3.94,,
