 ,,,,,,,,,
"$1,418.91",Payment Received,PayPal Fee,Postage,Other Costs,,Category,,DVD Cost:,1
5/5/2017,$4.75,-$0.44,-$2.77,,Jaws 2,,$0.54,,
5/8/2017,$10.00,-$0.59,-$2.77,-$10.42,Major Crimes Season 2,,-$4.78,,
5/8/2017,$12.50,-$0.66,-$2.63,,Twilight Saga Complete,,$8.21,,
5/8/2017,$7.50,-$0.52,-$2.63,,'Til Death Season 1,,$3.35,,
5/8/2017,$4.75,-$0.44,-$2.77,,Layer Cake,$0.50,$1.04,,
5/9/2017,$7.75,-$0.52,-$2.77,,This is Spinal Tap Blu-Ray,$0.50,$3.96,,
5/10/2017,$5.00,-$0.45,-$2.61,,Space Ghost Coast-to-Coast Replacement Disc 2,,$0.95,,
,,,,-$70.00,Purchased DVDs,,,,
5/11/2017,$4.75,-$0.44,-$2.77,,Cheech and Chong's Next Movie,,$0.54,,
5/12/2017,$29.00,-$1.14,-$2.77,,Eight is Enough Second Season Part 1,,$24.09,,
5/12/2017,$10.00,-$0.59,-$2.63,,"Star Trek Collection: First Contact, Generations, Insurrection",-$0.50,$5.28,,
5/12/2017,$7.75,-$0.52,-$2.77,,The Thing About my Folks,,$3.46,,
5/12/2017,$6.00,-$0.47,-$2.77,,The Contender,,$1.76,,
5/15/2017,$7.00,-$0.50,-$2.77,,The Serpent and the Rainbow,$0.50,$3.23,,
5/15/2017,$5.25,-$0.45,-$2.77,-$3.85,Tin Man,,-$2.82,,
5/15/2017,$8.00,-$0.53,-$2.63,,The Office Season 7,-$2.00,$1.84,,
5/16/2017,$5.50,-$0.46,-$2.61,,Pitch Perfect Blu-Ray,,$1.43,,
5/16/2017,$8.00,-$0.53,-$2.61,,Kill Bill Vols 1 & 2 Blu-Ray,,$3.86,,
5/16/2017,$4.75,-$0.44,-$2.77,,Rock of Ages,,$0.54,,
5/17/2017,$6.00,-$0.47,-$2.77,,Teen Witch / Heavenly Kid,,$1.76,,
5/19/2017,,$0.00,,-$56.34,eBay Fees,,-$57.34,,
5/20/2017,$5.25,-$0.45,-$2.77,,Batman Beyond: Return of the Joker,,$1.03,,
5/20/2017,,$0.00,,-$11.00,Purchased DVDs,,-$12.00,,
5/22/2017,$7.00,-$0.50,-$2.77,,Maleficent,,$2.73,,
