,,,,,,,,,
 ,,,,,,,,,
$820.94,Payment Received,PayPal Fee,Postage,Other Costs,,Purchase Price Offset,,DVD Cost:,1.15
5/30/2020,$60.00,-$2.04,-$2.80,,The Pretender Season 3,-$0.25,$53.76,,
6/1/2020,$9.00,-$0.56,-$2.80,,CSI NY Season 1,$0.35,$4.84,,
6/2/2020,$5.75,-$0.47,-$2.80,,The Best of Dudley Do-Right Vol 1,,$1.33,,
6/2/2020,$8.50,-$0.55,,,CSI Miami Season 3,$0.35,$7.15,,
6/3/2020,$6.50,-$0.49,-$2.80,,Man of the House,$1.00,$3.06,,
6/3/2020,$6.00,-$0.47,-$2.80,,Andromeda Season 4 Collection 1 Disc 2 REPLACEMENT DISC,$0.70,$2.28,,
6/4/2020,$6.00,-$0.47,-$2.80,,Rat Patrol Season 1,,$1.58,,
6/4/2020,$7.00,-$0.50,-$3.31,,The Attic Expeditions,$0.35,$2.39,,
6/4/2020,$13.00,-$0.68,-$2.80,,Freddy Got Fingered,$1.00,$9.37,,
6/4/2020,$20.00,-$0.88,-$2.80,,Alias Season 4,$0.35,$15.52,,
6/5/2020,$10.00,-$0.59,-$2.80,,Indictment: The McMartin Trial,$0.15,$5.61,,
6/5/2020,$9.00,-$0.56,-$2.80,,The Comedy Central Roast of Pam Anderson,,$4.49,,
6/8/2020,$17.00,-$0.79,-$2.80,,CSI NY Season 3,$0.35,$12.61,,
6/8/2020,$10.00,-$0.59,-$2.80,,The Wolf Man,$0.35,$5.81,,
6/10/2020,$7.50,-$0.52,-$2.80,,CSI Miami Season 2,$0.35,$3.38,,
6/11/2020,$6.00,-$0.47,-$2.80,,Andromeda Season 4 Collection 1 Disc 1,$0.70,$2.28,,
6/11/2020,$13.00,-$0.68,-$2.80,,,,$8.37,,
6/16/2020,$20.00,-$0.88,-$2.80,,In Plain Sight,$0.35,$15.52,,
6/17/2020,$6.00,-$0.47,-$2.80,,Justified Season 2,$0.35,$1.93,,
6/17/2020,$11.00,-$0.62,-$2.80,,Hawaii Five-0 Season 12,$0.35,$6.78,,
6/17/2020,,,,-$50.00,"Purchased DVDs. They are awful, 218 in case, ~50 empty cases, 97 loose discs and a few CDs.",,,,
6/18/2020,$9.00,-$0.56,-$2.80,,Bad Girls,$0.69,$5.18,,
6/18/2020,$8.00,-$0.53,-$2.80,,Last Orders,$0.35,$3.87,,
6/18/2020,$7.00,-$0.50,-$2.80,,Man of Tai Chi,$1.00,$3.55,,
6/18/2020,$10.00,-$0.59,-$2.80,,Crank Yankers Season 1,,$5.46,,
6/18/2020,$8.00,-$0.53,-$2.80,,...And God Spoke,,$3.52,,
6/20/2020,$13.00,-$0.68,-$2.80,,Wonder Woman 1974,-$15.00,-$6.63,,
6/20/2020,$7.00,-$0.50,-$2.80,,A Bug's Life,,$2.55,,
6/20/2020,$26.00,-$1.05,-$2.80,,Dune Mini Series 2000,,$21.00,,
6/20/2020,$6.00,-$0.47,$3.13,,Justified Season 1,$0.35,$7.86,,
6/20/2020,$6.50,-$0.49,-$2.80,,CSI: New York Season 2,$0.35,$2.41,,
6/20/2020,,$0.00,,-$88.43,eBay Fees,,-$89.58,,
6/20/2020,,$0.00,,-$25.69,Purchased shipping envelopes,,-$26.84,,
6/22/2020,$6.00,-$0.47,-$2.80,,Taken Tol 4 and 5 REPLACMENT DISCS AND CASE,,$1.58,,
6/23/2020,$7.50,-$0.52,-$2.80,,Guns and Talks,,$3.03,,
6/25/2020,$9.00,-$0.56,-$2.80,,Buffy the Vampire Slayer Season 2,$0.35,$4.84,,
6/25/2020,$10.00,-$0.59,-$2.80,,CSI: Crime Scene Investigation Season 6,$0.35,$5.81,,
6/25/2020,$5.50,-$0.46,-$2.80,,With Honors,,$1.09,,
6/29/2020,$6.00,-$0.47,-$2.80,,ER Season 1,$0.35,$1.93,,
6/30/2020,$15.00,-$0.74,-$2.80,,CSI: Crime Scene Investigation Season 10,$0.35,$10.67,,
